FID,planteaar,fritrumsprofil,wkb_geometry
trae_basis.138,1990,4.5 m,POINT (12.53783467525681 55.701486743787626)
trae_basis.139,1970,4.5 m,POINT (12.5377457000559 55.70373296800742)
trae_basis.140,1980,4.5 m,POINT (12.53795337153009 55.704673285132024)
trae_basis.141,2011,4.5 m,POINT (12.543861179204743 55.687435066488064)
trae_basis.142,2011,4.5 m,POINT (12.543873273955901 55.68742042243124)
trae_basis.143,2011,4.5 m,POINT (12.54371064474467 55.68751703861574)
trae_basis.144,2011,4.5 m,POINT (12.543697899915857 55.68750891963854)
trae_basis.145,2011,4.5 m,POINT (12.542953194513338 55.68786226361813)
trae_basis.146,2011,4.5 m,POINT (12.542978014100104 55.68785583834542)
trae_basis.154,1980,4.5 m,POINT (12.538152043706711 55.7056534971728)
trae_basis.155,1980,4.5 m,POINT (12.538169487512643 55.705731664251154)
trae_basis.147,1980,4.5 m,POINT (12.544170132509047 55.68888622696749)
trae_basis.148,1980,4.5 m,POINT (12.537973146912886 55.704747879543326)
trae_basis.149,1980,4.5 m,POINT (12.538063436513442 55.705193628471335)
trae_basis.150,1970,4.5 m,POINT (12.53807849620988 55.7052735809622)
trae_basis.151,1927,4.5 m,POINT (12.538091803162866 55.70534458734373)
trae_basis.152,1980,4.5 m,POINT (12.538107927530131 55.70542134895196)
trae_basis.153,1980,4.5 m,POINT (12.538124663062733 55.70549793801501)
trae_basis.156,1980,4.5 m,POINT (12.53821867160489 55.7059349136661)
trae_basis.157,1992,4.5 m,POINT (12.538432986539629 55.70598909721437)
trae_basis.158,1930,4.5 m,POINT (12.498973861382984 55.70398339887255)
trae_basis.159,,Ikke registreret,POINT (12.55400716800041 55.69055012473205)
trae_basis.160,,Ikke registreret,POINT (12.528675048290156 55.64839761593772)
trae_basis.161,2014,Ikke registreret,POINT (12.528359467596642 55.64861280799018)
trae_basis.162,1980,4.5 m,POINT (12.538349803013823 55.70645079102349)
trae_basis.163,1980,4.5 m,POINT (12.538653267204982 55.70745857664042)
trae_basis.169,1923,2.8 m,POINT (12.540305540901704 55.66459464874075)
trae_basis.164,1980,4.5 m,POINT (12.544209591496788 55.6887830369001)
trae_basis.165,1990,4.5 m,POINT (12.544120448901745 55.68898224826447)
trae_basis.166,1980,4.5 m,POINT (12.544100483209204 55.68902555231467)
trae_basis.167,2017,Ikke registreret,POINT (12.5105838686674 55.64191309274422)
trae_basis.168,2017,Ikke registreret,POINT (12.51801862341253 55.641069260714666)
trae_basis.170,2010,4.5 m,POINT (12.540344797059806 55.664668215344456)
trae_basis.171,1923,2.8 m,POINT (12.540384119028074 55.66474325449507)
trae_basis.172,1923,2.8 m,POINT (12.540424613687957 55.664815639951186)
trae_basis.173,1923,2.8 m,POINT (12.540468345355196 55.664886476417905)
trae_basis.174,1997,4.5 m,POINT (12.541028973349407 55.66391008833324)
trae_basis.175,1997,4.5 m,POINT (12.541113354528987 55.66405724301919)
trae_basis.176,1997,4.5 m,POINT (12.541196535202047 55.664207968421294)
trae_basis.177,1997,4.5 m,POINT (12.541285499324106 55.66436157499562)
trae_basis.178,1994,2.8 m,POINT (12.541347528573603 55.66451403392165)
trae_basis.179,1997,4.5 m,POINT (12.54144387047111 55.66465945960164)
trae_basis.180,1997,2.8 m,POINT (12.541525239410591 55.66480118723024)
trae_basis.181,2004,4.5 m,POINT (12.542168202112265 55.66405599113106)
trae_basis.182,2004,4.5 m,POINT (12.542404883851209 55.664458739181114)
trae_basis.183,1984,4.5 m,POINT (12.489127636716814 55.717580382836914)
trae_basis.184,1972,4.5 m,POINT (12.48927416158341 55.71741846362571)
trae_basis.185,1972,4.5 m,POINT (12.489298448254255 55.7174603858747)
trae_basis.186,,Ikke registreret,POINT (12.529020896617121 55.71854811360897)
trae_basis.187,2004,4.5 m,POINT (12.542547976955555 55.66470457272382)
trae_basis.188,2004,4.5 m,POINT (12.542698173248748 55.66453955118324)
trae_basis.189,2004,4.5 m,POINT (12.54276574112881 55.66466222482168)
